,Bird,Recording,Channel,Cluster,Lateral,Depth,Hemisphere,DepthCorr,LateralCorr,Amplitude,Location
1,G158,p1r1,8,37,1474,-1955,L,-1655,-1274,63.67478926,CM
2,G158,p1r1,11,28,1474,-1955,L,-1555,-874,80.70977271,CM
3,G158,p1r1,24,3,1474,-1955,L,-1755,-1674,61.91366264,CM
4,G158,p1r1,26,21,1474,-1955,L,-1855,-2074,120.740611,L1
5,G158,p1r2,2,33,1474,-2755,L,-2655,-1274,211.3049395,L3
6,G158,p1r2,7,25,1474,-2755,L,-2755,-874,309.1588867,L3
7,G158,p1r2,27,13,1474,-2755,L,-2555,-2074,135.579858,L3
8,G158,p1r2,31,6,1474,-2755,L,-2755,-2074,351.3491358,L3
9,G158,p2r1,17,1,1267,-1869,L,-1769,-1467,86.51926711,CM
10,G158,p2r1,19,6,1267,-1869,L,-1369,-1467,99.61756743,CM
11,G158,p2r2,9,39,1267,-2669,L,-1969,-1067,387.8798392,L2a
12,G158,p2r2,9,40,1267,-2669,L,-1969,-1067,387.8798392,L2a
13,G158,p2r2,25,9,1267,-2669,L,-2069,-1467,88.88272993,L3
14,G158,p2r3,2,44,1267,-3410,L,-3310,-1067,116.2709136,NCM
15,G158,p2r3,20,24,1267,-3410,L,-3010,-1467,100.2221052,NCM
16,G158,p2r3,22,17,1267,-3410,L,-3010,-1867,93.69142791,NCM
17,G158,p2r3,24,3,1267,-3410,L,-3210,-1467,98.16194715,NCM
18,G158,p2r3,26,27,1267,-3410,L,-3310,-1867,108.2023058,NCM
19,G158,p2r3,28,20,1267,-3410,L,-2710,-1867,129.3813462,NCM
20,G158,p2r3,29,11,1267,-3410,L,-3410,-1467,103.8215724,NCM
21,G158,p2r3,30,22,1267,-3410,L,-2710,-1467,125.687487,NCM
22,G158,p3r1,19,4,1371,-1889,R,-1389,1571,120.8220415,CM
23,G158,p3r2,6,41,-1371,-3251,R,-2551,771,136.269103,L3
24,G158,p3r2,6,44,-1371,-3251,R,-2551,771,136.269103,L3
25,G158,p3r2,8,50,-1371,-3251,R,-2951,1171,116.8876192,NCM
26,G158,p3r2,10,46,-1371,-3251,R,-2751,1171,126.8271629,NCM
27,G158,p3r2,14,36,-1371,-3251,R,-2651,1171,134.3609465,L3
28,O129,p1r1,6,34,1292,-1778,L,-1078,-692,84.99303025,CM
29,O129,p1r1,8,38,1292,-1778,L,-1478,-1092,53.10062768,CM
30,O129,p1r1,19,5,1292,-1778,L,-1278,-1492,86.53264721,CM
31,O129,p1r1,24,3,1292,-1778,L,-1578,-1492,73.48153068,CM
32,O129,p1r2,4,24,1292,-2678,L,-2578,-692,99.96403959,L3
33,O129,p1r2,5,40,1292,-2678,L,-2378,-692,85.27848009,L3
34,O129,p1r2,6,31,1292,-2678,L,-1978,-692,90.59578207,L1
35,O129,p1r2,11,28,1292,-2678,L,-2278,-692,87.62039553,L3
36,O129,p1r2,19,3,1292,-2678,L,-2178,-1492,379.3059177,L2a
37,O129,p1r3,1,49,1292,-3878,L,-3878,-1092,114.7528063,NCM
38,O129,p1r3,2,40,1292,-3878,L,-3778,-1092,121.3529127,NCM
39,O129,p1r3,5,41,1292,-3878,L,-3578,-692,101.5101125,L3
