"","X","Bird","Recording","Channel","Cluster","Location.y","ID"
"1",28,"G158","p3r2",6,41,"L3","G158_p3r2_ch6_c41"
"2",36,"G158","p3r2",6,42,"L3","G158_p3r2_ch6_c42"
"3",43,"G158","p2r1",17,1,"CM","G158_p2r1_ch17_c1"
"4",47,"G158","p1r2",31,6,"L3","G158_p1r2_ch31_c6"
"5",83,"G158","p2r1",22,17,"CM","G158_p2r1_ch22_c17"
"6",101,"G158","p1r2",27,13,"L3","G158_p1r2_ch27_c13"
"7",105,"G158","p2r3",26,27,"NCM","G158_p2r3_ch26_c27"
"8",119,"G158","p2r2",9,40,"L2a","G158_p2r2_ch9_c40"
"9",120,"G158","p1r1",8,37,"CM","G158_p1r1_ch8_c37"
"10",125,"G158","p2r2",9,39,"L2a","G158_p2r2_ch9_c39"
"11",133,"G158","p1r2",7,25,"L3","G158_p1r2_ch7_c25"
"12",135,"G158","p2r3",20,24,"NCM","G158_p2r3_ch20_c24"
"13",159,"G158","p2r1",19,6,"CM","G158_p2r1_ch19_c6"
"14",167,"G158","p2r2",25,9,"L3","G158_p2r2_ch25_c9"
"15",169,"G158","p1r1",2,38,"L1","G158_p1r1_ch2_c38"
"16",177,"G158","p1r1",26,21,"L1","G158_p1r1_ch26_c21"
"17",179,"G158","p2r3",30,22,"NCM","G158_p2r3_ch30_c22"
"18",187,"G158","p1r2",2,33,"L3","G158_p1r2_ch2_c33"
"19",213,"G158","p3r1",19,4,"CM","G158_p3r1_ch19_c4"
"20",218,"G158","p2r3",24,3,"NCM","G158_p2r3_ch24_c3"
"21",219,"G158","p1r1",11,28,"CM","G158_p1r1_ch11_c28"
"22",230,"G158","p3r2",8,50,"NCM","G158_p3r2_ch8_c50"
"23",282,"G158","p2r3",22,17,"NCM","G158_p2r3_ch22_c17"
"24",309,"G158","p3r2",10,46,"NCM","G158_p3r2_ch10_c46"
"25",344,"G158","p2r3",2,44,"NCM","G158_p2r3_ch2_c44"
"26",355,"G158","p3r2",6,44,"L3","G158_p3r2_ch6_c44"
"27",357,"G158","p2r3",28,20,"NCM","G158_p2r3_ch28_c20"
"28",380,"G158","p2r3",29,11,"NCM","G158_p2r3_ch29_c11"
"29",394,"G158","p3r2",14,36,"L3","G158_p3r2_ch14_c36"
"30",396,"G158","p1r1",24,3,"CM","G158_p1r1_ch24_c3"
"31",16,"O129","p2r3",4,33,"NCM","O129_p2r3_ch4_c33"
"32",30,"O129","p1r3",2,40,"NCM","O129_p1r3_ch2_c40"
"33",57,"O129","p1r2",19,3,"L2a","O129_p1r2_ch19_c3"
"34",72,"O129","p2r2",24,3,"L3","O129_p2r2_ch24_c3"
"35",79,"O129","p1r3",21,15,"NCM","O129_p1r3_ch21_c15"
"36",81,"O129","p1r2",4,24,"L3","O129_p1r2_ch4_c24"
"37",122,"O129","p2r3",5,45,"NCM","O129_p2r3_ch5_c45"
"38",126,"O129","p1r2",6,31,"L1","O129_p1r2_ch6_c31"
"39",144,"O129","p1r1",6,34,"CM","O129_p1r1_ch6_c34"
"40",186,"O129","p1r1",19,5,"CM","O129_p1r1_ch19_c5"
"41",192,"O129","p2r2",6,40,"L1","O129_p2r2_ch6_c40"
"42",199,"O129","p2r2",3,38,"L2a","O129_p2r2_ch3_c38"
"43",247,"O129","p1r3",1,49,"NCM","O129_p1r3_ch1_c49"
"44",257,"O129","p1r1",8,38,"CM","O129_p1r1_ch8_c38"
"45",260,"O129","p2r1",15,46,"CM","O129_p2r1_ch15_c46"
"46",279,"O129","p1r1",24,3,"CM","O129_p1r1_ch24_c3"
"47",321,"O129","p2r3",22,15,"L3","O129_p2r3_ch22_c15"
"48",333,"O129","p2r2",16,31,"L2a","O129_p2r2_ch16_c31"
"49",347,"O129","p1r3",5,41,"L3","O129_p1r3_ch5_c41"
"50",358,"O129","p2r3",4,34,"NCM","O129_p2r3_ch4_c34"
"51",367,"O129","p2r1",9,41,"CM","O129_p2r1_ch9_c41"
"52",383,"O129","p1r2",11,28,"L3","O129_p1r2_ch11_c28"
"53",385,"O129","p2r3",5,46,"NCM","O129_p2r3_ch5_c46"
