,Bird,UUID,Age,Type,Sex,Recording,Channel,Cluster,Location,Hemisphere,Lateral,Depth,SocialGroup
0,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,11,28,CMFL,L,1474.0,-1955.0,180B
1,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,24,3,CMFL,L,1474.0,-1955.0,180B
2,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,26,21,CMFL,L,1474.0,-1955.0,180B
3,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,2,38,CMFL,L,1474.0,-1955.0,180B
4,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r1,8,37,CMFL,L,1474.0,-1955.0,180B
5,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,27,13,FL,L,1474.0,-2755.0,180B
6,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,2,33,FL,L,1474.0,-2755.0,180B
7,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,31,6,FL,L,1474.0,-2755.0,180B
8,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p1r2,7,25,FL,L,1474.0,-2755.0,180B
9,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,17,1,CM,L,1267.0,-1869.0,180B
10,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,19,6,CM,L,1267.0,-1869.0,180B
11,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r1,22,17,CM,L,1267.0,-1869.0,180B
12,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,25,9,FL,L,1267.0,-2669.0,180B
13,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,9,39,FL,L,1267.0,-2669.0,180B
14,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r2,9,40,FL,L,1267.0,-2669.0,180B
15,G158,f844f0eb-634f-4a06-8979-96972ce9c10c,599,CR,F,p2r3,20,24,NCM,L,1267.0,-3410.0,180B
